"alpha","handle","name","bio","url","source_url"
"xeogy92298766","MCGlive","MCG","独家 Alpha，可操作洞察；媒体/alpha 内容源","https://x.com/MCGlive","https://x.com/xeogy92298766/following"
"xeogy92298766","midjourney","Midjourney","AI 图像研究实验室，知名项目","https://x.com/midjourney","https://x.com/xeogy92298766/following"
"xeogy92298766","wordbankgame","WordBank","以太坊上完全链上且无需许可的游戏藏品，由 Uniswap V4 流动性支持。","https://x.com/wordbankgame","https://x.com/xeogy92298766/following"
"xeogy92298766","Heistedxyz","Heisted","██████████████████████████████████████████","https://x.com/Heistedxyz","https://x.com/xeogy92298766/following"
"xeogy92298766","MRCYsupply","Mercury · $MRCY","Liquid metal, mined on HyperEVM.","https://x.com/MRCYsupply","https://x.com/xeogy92298766/following"
"xeogy92298766","Robindogenft","Robindogenft","首个 NFT 系列以及基于 Robinhood Chain 的链上市场，即将 stealth launch","https://x.com/Robindogenft","https://x.com/xeogy92298766/following"
"xeogy92298766","echonv4","Echo","CA:0x5d292e1f05e942b2da3d680e0f950d91fdbeedaf；$ECHO on Uniswap v4","https://x.com/echonv4","https://x.com/xeogy92298766/following"
"xeogy92298766","ambient_xyz","ambient.xyz","PoW L1 提供针对 600B+ 参数模型及微调版本的超大规模验证推理。","https://x.com/ambient_xyz","https://x.com/xeogy92298766/following"
"xeogy92298766","mondeto","Mondeto","拥有世界。一次一个像素。在 @minipay","https://x.com/mondeto","https://x.com/xeogy92298766/following"
"xeogy92298766","nav_certs","NAV","$NAV token with ERC-721 certs；链上艺术反映钱包状态。","https://x.com/nav_certs","https://x.com/xeogy92298766/following"
"xeogy92298766","Ask_CarpeDiem","Carpe Diem","DIEM 推理配额的去中心化市场。6 月上线。","https://x.com/Ask_CarpeDiem","https://x.com/xeogy92298766/following"
"xeogy92298766","DackieSwap","DackieSwap","Meta 聚合器 DeFi 兑换体验。","https://x.com/DackieSwap","https://x.com/xeogy92298766/following"
"xeogy92298766","Capminal","Capminal","AI Terminal with Perpetual AI Compute, DeFAI Agent, Smart Tokenization.","https://x.com/Capminal","https://x.com/xeogy92298766/following"
"xeogy92298766","ETHGlobal","ETHGlobal","以太坊黑客松/建设者社区，知名组织","https://x.com/ETHGlobal","https://x.com/xeogy92298766/following"
"xeogy92298766","pulsev4hook","PULSE","每一次交换都是一次心跳；$PULSE / v4","https://x.com/pulsev4hook","https://x.com/xeogy92298766/following"
"xeogy92298766","useflashpoint","Flashpoint","加密市场的实时优势","https://x.com/useflashpoint","https://x.com/xeogy92298766/following"
"xeogy92298766","sa1tdotfun","salt","launch tokens with built-in Uniswap v4 hook mechanics. 0x2d61bbbe5ad9a8f18fef35940301fd24f143a72b","https://x.com/sa1tdotfun","https://x.com/xeogy92298766/following"
"xeogy92298766","sstrenev","Stan Trenev","DeFi smart contract engineer；个人号","https://x.com/sstrenev","https://x.com/xeogy92298766/following"
"xeogy92298766","emergent_inc","Emergent Computing","","https://x.com/emergent_inc","https://x.com/xeogy92298766/following"
"xeogy92298766","rialto_xyz","rialto","Capital markets, rebuilt onchain","https://x.com/rialto_xyz","https://x.com/xeogy92298766/following"
"xeogy92298766","secondhq","Second","为应用集成比特币支付的开发者解决方案；Lightning、Ark、链上。","https://x.com/secondhq","https://x.com/xeogy92298766/following"
"xeogy92298766","rottcrypto","rott","hunting @UnderdogMode；个人号","https://x.com/rottcrypto","https://x.com/xeogy92298766/following"
"xeogy92298766","damian_et","Damián Et","对新实验和发射台感兴趣；个人号","https://x.com/damian_et","https://x.com/xeogy92298766/following"
