alpha_account,followed_account,description,url,source_url
ibraxbt,lanaAI_bot,"Automated account for Lana AI.",https://x.com/lanaAI_bot,https://x.com/ibraxbt/following
ibraxbt,app_gotcha,"Real-life catch-them-all app coming to iOS with waitlist.",https://x.com/app_gotcha,https://x.com/ibraxbt/following
ibraxbt,ladymarian_x,"MEV-themed early project account.",https://x.com/ladymarian_x,https://x.com/ibraxbt/following
ibraxbt,playTrenches,"Early game/project account.",https://x.com/playTrenches,https://x.com/ibraxbt/following
ibraxbt,FeatherFi,"Native DEX and deep liquidity layer on Robin. Swap LP and earn.",https://x.com/FeatherFi,https://x.com/ibraxbt/following
ibraxbt,redotools,"Multiplatform on Ethereum coming soon.",https://x.com/redotools,https://x.com/ibraxbt/following
ibraxbt,world_xyz,"Coming soon early project account.",https://x.com/world_xyz,https://x.com/ibraxbt/following
ibraxbt,fibodotfun,"Early Base project coming soon.",https://x.com/fibodotfun,https://x.com/ibraxbt/following
ibraxbt,ForgeLending,"Bittensor native money market. Borrow TAO with subnet tokens.",https://x.com/ForgeLending,https://x.com/ibraxbt/following
ibraxbt,sanctuairyfun,"Home of autonomous 3D companions built on threews.",https://x.com/sanctuairyfun,https://x.com/ibraxbt/following
ibraxbt,FireFliesMarket,"Frictionless veNFT trading platform.",https://x.com/FireFliesMarket,https://x.com/ibraxbt/following
ibraxbt,Hooknomics,"Tokenomics 2.0 project.",https://x.com/Hooknomics,https://x.com/ibraxbt/following
ibraxbt,storyofsaga,"Forgotten Hero story/game themed early project.",https://x.com/storyofsaga,https://x.com/ibraxbt/following
ibraxbt,CactusHQxyz,"Home for on-chain organizations, formerly Tally, operated by ScopeLift Labs.",https://x.com/CactusHQxyz,https://x.com/ibraxbt/following
ibraxbt,bloomsfi,"Early finance/project account with limited visible bio.",https://x.com/bloomsfi,https://x.com/ibraxbt/following
ibraxbt,FD_XYZ,"Infrastructure for the agent economy.",https://x.com/FD_XYZ,https://x.com/ibraxbt/following
ibraxbt,prognosysmarket,"AI agents for prediction markets built on Base.",https://x.com/prognosysmarket,https://x.com/ibraxbt/following
ibraxbt,wecruit,"Opportunity discovery platform supported by Alliance.",https://x.com/wekruit,https://x.com/ibraxbt/following
ibraxbt,LectogramHQ,"Deep personalized lectures on any topic.",https://x.com/LectogramHQ,https://x.com/ibraxbt/following
ibraxbt,0xclawlens,"Credit card for AI agents.",https://x.com/0xclawlens,https://x.com/ibraxbt/following
ibraxbt,4626fun,"ERC-4626 creator vaults on Base.",https://x.com/4626fun,https://x.com/ibraxbt/following
ibraxbt,PlayTCGArena,"On-chain trading card P2E arena. Battle cards and win prize pools.",https://x.com/PlayTCGArena,https://x.com/ibraxbt/following
