alpha_account,followed_account,display_name,bio
alphafries,guiltyuniswap,GUILTY,u never know when the court turns guilty powered by @uniswap v4 hook
alphafries,Infectv4,Infect,以太坊 v4 爆发 感染其他钱包并从他们的利润中获利
alphafries,prognosysmarket,Prognosys,正在构建 Prognosys Markets，预测市场的 AI 代理。基于 Base 构建。
alphafries,SigalSwap,SigalSwap,Privacy-preserving AMM on Aztec L2. Sub rosa — your trades stay yours.
alphafries,bleed_v4,BLEED,$BLEED on Uniswap v4. The pool bleeds. You farm the wound.
alphafries,robinhood_rats,Hood Rats,完全链上像素老鼠的殖民地，在 @RobinhoodApp 上
alphafries,rbrc20,rbrc,Robinhood 链上的第一个铭文标准
alphafries,thearcosai,Arcos,Autonomous AI on @arc Rewarding every conversation
alphafries,rbhd_inscribe,Robinscribe,RobinhoodApp 链上的首批链上铭文。RBNH-20 calldata
alphafries,DegenhoodL2,Degenhood,The first mintable token on Robinhood Chain.
alphafries,Fixels_ETH,Fixels,Fixels 是从修复像素中诞生的链上像素工作者
alphafries,Robinoscription,Robinhood Inscriptions,RobinhoodApp 上的首个铭文协议 ROBI-20
alphafries,Robinhookv4,RobinHOOK,on-chain objects on RobinhoodApp chain // built on Uniswap v4 hook
alphafries,swellnetworkio,Swell,Liquid Restaking for DeFi. swETH rswETH and Swellchain.
alphafries,PricklyNFT,Prickly Desperados,Prickly desperados roaming the blockchain desert
alphafries,gravehook,GRAVE,
alphafries,pikkazonft,Pikkazo,重新定义 10.000 立体主义
alphafries,storyofsaga,SAGA : Forgotten Hero,那个无人记得的英雄
alphafries,takeoverbot,Takeover Bot,启动一个分成100块土地的地块。从土地持有者那里收获税收
alphafries,wordbankgame,WordBank,以太坊上首个完全链上且无需许可的游戏藏品，由 Uniswap V4 流动性支持
